"b_medium","b_low","b_indep","b_high","b_labelbio","b_labelpleinair","b_nolabel","b_calibreL","b_calibreM","mu_lnorm","sigma_lnorm","c_couple_35","c_couple_65","c_couple_3565","c_family_05","c_family_1217","c_family_1824","c_family_611","c_single_35","c_single_65","c_single_3565","c_high","c_low_middle","c_high_middle","c_low","b_nosale","b_control","logLike"
-0.958166367896152,-0.894213122330943,-3.11080626969488,-1.11292964962307,-1.39857578232482,-0.840810189966448,0,-0.579586319582314,0,-6.1483634841372,-0.567230099155492,1.19590744114642,-6.88397553389558,-0.285688635850061,0.654734013877877,0,-2.1865535680278,3.26065952259946,0.6229934077921,-10.8879150699925,2.48076662027776,-10.3592521064415,0,-13.9598341136838,4.18801306295213,0,0.987801199671079,-90917.9081198327
-0.953836793418904,-0.886601016906314,-2.98417950080245,-1.10792034173897,-1.36585619968355,-0.823986013735609,0,-0.570084585790257,0,-5.24509742847605,-1.99295093986214,1.29473587294584,-6.85408881527537,0.0412908862601962,0.919478385820301,0,-2.01828762197946,2.17220616795177,0.68678962978409,-11.0429016539101,2.89560323890128,-10.4304184081501,0,-13.8177378799117,3.55028981049885,0,1.00196532303004,-90630.0774041879
-0.905190400186856,-0.992813486655467,-2.91470249866604,-1.04763068313292,-1.3259271468687,-0.703836018535273,0,-0.41825005875967,0,-5.24318876109047,-1.99627534701497,1.29473682568883,-6.85408869327212,0.0417980361055579,0.919509838446291,0,-2.01779156884258,2.17194735061432,0.686771663640303,-11.0429016567041,2.89605162508615,-10.4304184537849,0,-13.8177378827057,3.55131525998344,0,1.00192289383618,-89881.6202217549
-1.07520284882768,-0.946444151976653,-2.71817203197939,-1.13117293584807,-1.18569371667501,-0.619110828749291,0,-0.357244361833756,0,-5.21447583460592,-2.04005152385063,1.29500743528797,-6.85408447366718,0.0468128173423183,0.921097979526936,0,-2.01267059207707,2.17542223926373,0.686760456306086,-11.042901650378,2.90170747537795,-10.4304185274603,0,-13.8177378763796,3.566765570946,0,1.00173481051108,-89740.5020152816
-1.03892292866534,-0.977042991010102,-2.68573491276562,-1.19151862433546,-1.07725642134914,-0.617245219091248,0,-0.38690669567221,0,-5.18151866850733,-2.08849327990647,1.29535863238606,-6.85407876036991,0.0521046760856955,0.922890188819558,0,-2.00600012346191,2.17856030921782,0.686767249729267,-11.0429016382096,2.9084655719701,-10.4304186025855,0,-13.8177378682738,3.58443402374743,0,1.00157094573553,-89713.4116713061
-1.04817893210587,-0.973880824022728,-2.70750514223894,-1.17767123114449,-1.0452154193052,-0.612713431360603,0,-0.384936654350368,0,-5.14801738804002,-2.13514100979962,1.29576782476562,-6.85407170994141,0.0570300880259108,0.925101722067493,0,-1.99799204702776,2.18022671951138,0.686786971471486,-11.042901620381,2.91543520676071,-10.4304186809405,0,-13.8177378595262,3.60263609041799,0,1.00139839588183,-89701.9755324509
-1.04835283191199,-0.97163685227295,-2.71408308702481,-1.18168258489525,-1.0436661646364,-0.608337771516345,0,-0.380945146368446,0,-5.12822604887224,-2.16255372200366,1.29602795000306,-6.85406697788026,0.0597524062810194,0.926666153315246,0,-1.99270905112385,2.18137115854351,0.686806111373804,-11.0429016068828,2.91916474621713,-10.430418740613,0,-13.8177378570957,3.61321345406501,0,1.00129849669734,-89695.9109594329
-0.997401987139827,-1.04020344561448,-2.70334424762946,-1.13318551340556,-1.04173269147404,-0.548758025649987,0,-0.298668280528488,0,-5.12483107261396,-2.16727325968649,1.29607509262047,-6.85406587705698,0.0601564661679517,0.926991019118369,0,-1.99137195875405,2.18132133092312,0.686804718115232,-11.0429016050202,2.91968680746823,-10.4304187778659,0,-13.8177378589583,3.61488349891184,0,1.00126924012998,-89458.6320110215
-1.02673132340331,-1.03889196280126,-2.69836346208059,-1.11786507595188,-1.04884938707155,-0.539530598238401,0,-0.290240081770021,0,-5.09773305805541,-2.20413549707587,1.29656402174898,-6.85405696329759,0.06322080390265,0.929901411505215,0,-1.98204600550569,2.18242839557672,0.686877916741865,-11.0429015767121,2.92384186890722,-10.4304188235705,0,-13.8177378588778,3.62849541823096,0,1.00113130567269,-89450.8112352504
-1.02743302739486,-1.03936509431541,-2.6986741305846,-1.11838783627082,-1.04972030287431,-0.538292411037137,0,-0.289300272800276,0,-5.08097662001907,-2.227080061168,1.29686948245435,-6.85405120199827,0.0650739167544654,0.931716803659006,0,-1.97620119104783,2.18342827199267,0.686926959643431,-11.0429015580554,2.92617945706635,-10.4304188554576,0,-13.817737858818,3.63676774242296,0,1.00104974326491,-89446.0034937864
