"b_medium","b_low","b_indep","b_high","b_labelbio","b_labelpleinair","b_nolabel","b_calibreL","b_calibreM","mu_lnorm","sigma_lnorm","c_high","c_low_middle","c_high_middle","c_low","b_nosale","b_control","logLike"
-2.54603263902276,-2.17487780869974,-3.79471689631699,-1.80653498554172,-0.980410503139882,-0.357114596581654,0,-0.125366625157217,0,1.51483813533608,-0.606853067017533,-4.2273760332418,0,-0.624077109819327,0.663119591906488,0,-0.182640820503102,-9510.60601873889
-2.24289548275159,-1.9398373873779,-3.35072935111612,-1.37215251529055,-0.61108776421476,-0.135026732047768,0,0.0611872923960832,0,1.95934022611663,-0.926470036310751,-3.66332400842389,0,-0.583775590938739,0.666678047153341,0,-0.301152577365834,-9484.17489729721
-2.18040231018319,-1.89217624605134,-3.26062921051719,-1.29589780669127,-0.547417986786574,-0.118243646471776,0,0.0777826501775226,0,1.97471205689415,-0.895405326077138,-2.46812291765395,0,-0.519107787574703,0.650032167086207,0,-0.324232767118731,-9461.84291038567
-1.89588304535943,-1.75933940803133,-3.10528767552544,-1.37418566998028,-0.395691074777975,-0.101049772826038,0,0.0382818837437472,0,1.91759408704873,-0.895123455479164,-2.26933100815672,0,-0.557696367202388,0.548204558199101,0,-0.324401583887296,-9458.48283556651
-1.7323534243715,-1.49580514153475,-2.733325667463,-1.13340377607344,-0.120775957703672,-0.0113641006833005,0,0.0179725559341458,0,1.95330903126616,-0.949164203171313,-1.77372171768917,0,-0.602339765789789,0.349623881596088,0,-0.324783356648961,-9434.11230327418
-0.968302011595793,-1.21069403299694,-1.85041282351942,-0.275523908921759,0.404027842569166,0.377450908227073,0,0.19722068929639,0,2.23903669152398,-0.632838128989272,-0.509079270762939,0,-0.625683812426272,-0.100360235708823,0,-0.32584280411294,-9393.45989611962
-0.591344438230158,-1.03402036622882,-1.46554249058914,0.0589650890414937,0.612864143012043,0.540948873264429,0,0.232024354432195,0,2.56531442560772,-0.546515332380334,0.0637517634954545,0,-0.553891391168587,-0.245701871462783,0,-0.326333023765194,-9370.77814679104
-0.536535405416476,-0.960183339686969,-1.37585644035578,0.120720360654414,0.666736732562096,0.583086818613812,0,0.234892130968152,0,2.60666962106985,-0.492790440626428,0.105843878104817,0,-0.521084835760461,-0.232945658781648,0,-0.326429288767539,-9365.9896950217
0.314345675891549,-0.333553196430109,-0.210035769882878,1.02494513137306,1.44261986593907,1.15242978881969,0,0.408949407137403,0,2.99470440464119,-0.366979489242052,0.34663312918403,0,-0.0438675739811213,0.0846537370509134,0,-0.327660101585058,-9345.27910708342
0.538930671160963,-0.137074733281085,-0.0701628956182645,1.29673168367579,1.42987392387609,1.27810661934708,0,0.312373188731974,0,3.05072630052613,-0.383362167301378,0.305258797842211,0,-0.0728750310038021,0.095323527599355,0,-0.327951820738875,-9340.82104650815
